Ticker,Name,Sector,Industry,Definition
20MICRONS,20 Microns Limited,Mining,Mining,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
360ONE,360 ONE WAM LIMITED,Finance,Finance,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
3IINFOLTD,3i Infotech Limited,COMPUTERS - SOFTWARE,COMPUTERS - SOFTWARE,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
3MINDIA,3M India Limited,Diversified Commercial Services,Diversified Commercial Services,"Companies providing dredging and related
services"
5PAISA,5Paisa Capital Limited,Financial Services,Financial Services,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
AARON,Aaron Industries Limited,INDUSTRIAL EQUIPMENT,INDUSTRIAL EQUIPMENT,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
AARTIIND,Aarti Industries Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
AARTIPHARM,Aarti Pharmalabs Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
AARVEEDEN,Aarvee Denims & Exports Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
AARVI,Aarvi Encon Limited,Diversified Commercial Services,Diversified Commercial Services,"Companies providing dredging and related
services"
AAVAS,Aavas Financiers Limited,Housing Finance Companies,Housing Finance Companies,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ABB,ABB India Limited,Heavy Electrical Equipment,Heavy Electrical Equipment,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ABCAPITAL,Aditya Birla Capital Limited,Holding Companies,Holding Companies,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ABFRL,Aditya Birla Fashion and Retail Limited,Apparels & Accessories,Apparels & Accessories,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
ABMINTLLTD,ABM International Limited,Trading Companies & Distributors,Trading Companies & Distributors,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ABSLAMC,Aditya Birla Sun Life AMC Limited,Asset Management Companies,Asset Management Companies,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ACC,ACC Limited,Cement & Cement Products,Cement & Cement Products,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
ACCELYA,Accelya Solutions India Limited,IT Consulting & Application Software,IT Consulting & Application Software,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ACE,Action Construction Equipment Limited,Transport Related Services,Transport Related Services,"Companies providing dredging and related
services"
ACEINTEG,Ace Integrated Solutions Limited,Technology Services,Technology Services,"Companies providing dredging and related
services"
ACI,Archean Chemical Industries Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
ADANIENT,Adani Enterprises Limited,Trading Companies & Distributors,Trading Companies & Distributors,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ADANIGREEN,Adani Green Energy Limited,Electric Utilities,Electric Utilities,"Companies engaged into water supply and
management"
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Marine Port & Services,Marine Port & Services,"Companies providing dredging and related
services"
ADFFOODS,ADF Foods Limited,Packaged Foods,Packaged Foods,"Manufacturers of civil and military
aerospace and equipments, defense
equipments, defense electronics and
products thereof"
ADORWELD,Ador Welding Limited, Industrial Goods, Industrial Goods,Producers and distributors of edible oil
ADSL,Allied Digital Services Limited,IT Consulting & Application Software,IT Consulting & Application Software,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels,Hotels,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
ADVENZYMES,Advanced Enzyme Technologies Limited,Other Agricultural Products,Other Agricultural Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
AEGISCHEM,Aegis Logistics Limited,LOGISTICS SOLUTION PROVIDER,LOGISTICS SOLUTION PROVIDER,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
AETHER,Aether Industries Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
AFFLE,Affle (India) Limited,Internet Software & Services,Internet Software & Services,"Companies providing dredging and related
services"
AGARIND,Agarwal Industrial Corporation Limited,Petrochemicals,Petrochemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
AGI,AGI Greenpac Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
AGRITECH,Agri-Tech (India) Limited,Other Agricultural Products,Other Agricultural Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
AGROPHOS,Agro Phos India Limited,FERTILIZERS,FERTILIZERS,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
AHL,Abans Holdings Limited,Finance,Finance,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
AHLADA,Ahlada Engineers Limited,FURNITURE / HOME FURNISHING / FLOORING,FURNITURE / HOME FURNISHING / FLOORING,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
AHLEAST,Asian Hotels (East) Limited,Hotels,Hotels,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
AHLUCONT,Ahluwalia Contracts (India) Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
AIAENG,AIA Engineering Limited, Industrial Goods, Industrial Goods,Producers and distributors of edible oil
AIROLAM,Airo Lam limited,PLYWOOD BOARDS/ LAMINATES,PLYWOOD BOARDS/ LAMINATES,"Manufacturers of paper, paper boards etc."
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
AJMERA,Ajmera Realty & Infra India Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
AKG,Akg Exim Limited,Trading Companies & Distributors,Trading Companies & Distributors,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
AKZOINDIA,Akzo Nobel India Limited,PAINTS,PAINTS,"Companies providing fixed line and
cellular telecom services"
ALBERTDAVD,Albert David Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ALEMBICLTD,Alembic Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ALICON,Alicon Castalloy Limited,Auto Parts & Equipment,Auto Parts & Equipment,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ALKALI,Alkali Metals Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ALKEM,Alkem Laboratories Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ALKYLAMINE,Alkyl Amines Chemicals Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ALLCARGO,Allcargo Logistics Limited,LOGISTICS SOLUTION PROVIDER,LOGISTICS SOLUTION PROVIDER,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ALLSEC,Allsec Technologies Limited,BPO / ITeS,BPO / ITeS,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ALPA,Alpa Laboratories Limited,Biotechnology,Biotechnology,"Companies engaged in software
development, IT consulting and data
analytics"
ALPHAGEO,Alphageo (India) Limited,Oil Equipment & Services,Oil Equipment & Services,"Companies providing dredging and related
services"
AMBER,Amber Enterprises India Limited,Consumer Electronics,Consumer Electronics,"Owners and operators of hotels, resorts
etc. Includes investment trusts where
underlying is 'Hotels and Resorts'"
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Trading Companies & Distributors,Trading Companies & Distributors,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
AMBIKCO,Ambika Cotton Mills Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
AMBUJACEM,Ambuja Cements Limited,Cement & Cement Products,Cement & Cement Products,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
AMIORG,Ami Organics Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
AMJLAND,Amj Land Holdings Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
AMNPLST,Amines & Plasticizers Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
AMRUTANJAN,Amrutanjan Health Care Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Financial Services,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
ANANTRAJ,Anant Raj Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
ANDHRAPAP,ANDHRA PAPER LIMITED,Paper & Paper Products,Paper & Paper Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
ANDHRSUGAR,The Andhra Sugars Limited,Commodity Chemicals,Commodity Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ANGELONE,Angel One Limited,Financial Services,Financial Services,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
ANMOL,Anmol India Limited,Distributors,Distributors,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ANUP,The Anup Engineering Limited,Industrial Machinery,Industrial Machinery,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
ANURAS,Anupam Rasayan India Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
APARINDS,Apar Industries Limited,Other Electrical Equipment/ Products,Other Electrical Equipment/ Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
APCL,Anjani Portland Cement Limited,Cement & Cement Products,Cement & Cement Products,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
APCOTEXIND,Apcotex Industries Limited, Industrial Goods, Industrial Goods,Producers and distributors of edible oil
APEX,Apex Frozen Foods Limited,Packaged Foods,Packaged Foods,"Manufacturers of civil and military
aerospace and equipments, defense
equipments, defense electronics and
products thereof"
APLAPOLLO,APL Apollo Tubes Limited,IRON & STEEL PRODUCTS,IRON & STEEL PRODUCTS,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
APLLTD,Alembic Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare  - Facilities,Healthcare  - Facilities,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
APOLLOPIPE,Apollo Pipes Limited,PLASTIC PRODUCTS,PLASTIC PRODUCTS,Producers and distributors of edible oil
APOLLOTYRE,Apollo Tyres Limited,Tyres & Rubber Products,Tyres & Rubber Products,"Companies providing dredging and related
services"
APOLSINHOT,Apollo Sindoori Hotels Limited,Hotels,Hotels,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
APTECHT,Aptech Limited,IT Training Services,IT Training Services,"Companies providing dredging and related
services"
APTUS,Aptus Value Housing Finance India Limited,Housing Finance Companies,Housing Finance Companies,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ARCHIDPLY,Archidply Industries Limited,Forest Products - PLY & BOARDS,Forest Products - PLY & BOARDS,"Manufacturers of paper, paper boards etc."
ARENTERP,Rajdarshan Industries Limited,Construction & Engineering,Construction & Engineering,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ARIES,Aries Agro Limited,FERTILIZERS,FERTILIZERS,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
ARIHANTCAP,Arihant Capital Markets Limited,STOCKBROKING AND ALLIED,STOCKBROKING AND ALLIED,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ARIHANTSUP,Arihant Superstructures Limited,RESIDENTIAL/COMMERCIAL/SEZ Project,RESIDENTIAL/COMMERCIAL/SEZ Project,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
ARMANFIN,Arman Financial Services Limited,Fin COS (including NBFCs),Fin COS (including NBFCs),"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
AROGRANITE,Aro Granite Industries Limited,GRANITES / MARBLES,GRANITES / MARBLES,"Companies engaged in marketing and/ or
transportation of gases"
ARROWGREEN,Arrow Greentech Limited,PLASTIC PRODUCTS,PLASTIC PRODUCTS,Producers and distributors of edible oil
ARTEMISMED,Artemis Medicare Services Limited,Healthcare  - Services,Healthcare  - Services,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
ARVIND,Arvind Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
ARVINDFASN,Arvind Fashions Limited,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
ARVSMART,Arvind SmartSpaces Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
ASAHIINDIA,Asahi India Glass Limited,GLASS,GLASS,"Companies engaged in marketing and/ or
transportation of gases"
ASAHISONG,Asahi Songwon Colors Limited,DYES & PIGMENTS,DYES & PIGMENTS,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ASAL,Automotive Stampings and Assemblies Limited,Auto Parts & Equipment,Auto Parts & Equipment,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
ASALCBR,Associated Alcohols & Breweries Ltd.,Breweries & Distilleries,Breweries & Distilleries,"Companies engaged into water supply and
management"
ASHIANA,Ashiana Housing Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
ASHIMASYN,Ashima Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
ASHOKA,Ashoka Buildcon Limited,Roads & Highways,Roads & Highways,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
ASHOKLEY,Ashok Leyland Limited,"Construction, Agricultural & Commercial Vehicles","Construction, Agricultural & Commercial Vehicles","Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ASIANENE,Asian Energy Services Limited,Oil Equipment & Services,Oil Equipment & Services,"Companies providing dredging and related
services"
ASIANPAINT,Asian Paints Limited,PAINTS,PAINTS,"Companies providing fixed line and
cellular telecom services"
ASIANTILES,Asian Granito India Limited,CERAMICS / GRANITES ,CERAMICS / GRANITES ,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ASMS,Bartronics India Limited,Electronic Technology,Electronic Technology,"Companies engaged in software
development, IT consulting and data
analytics"
ASPINWALL,Aspinwall and Company Limited,LOGISTICS SOLUTION PROVIDER,LOGISTICS SOLUTION PROVIDER,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ASTEC,Astec LifeSciences Limited,Agrochemicals,Agrochemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ASTERDM,Aster DM Healthcare Limited,Healthcare  - Services,Healthcare  - Services,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
ASTRAL,Astral Limited,PLASTIC PRODUCTS,PLASTIC PRODUCTS,Producers and distributors of edible oil
ASTRAMICRO,Astra Microwave Products Limited,Defence,Defence,"Companies engaged into multiple business
segment, where no single business
segment contributes more than 50% of
companies' total revenue and two or
more segments each contributes at least
20% of total revenue"
ASTRAZEN,AstraZeneca Pharma India Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ATALREAL,Atal Realtech Limited,Consumer Durables,Consumer Durables,"Manufacturers and distributors of bicycles
and tricycles"
ATAM,Atam Valves Limited,Producer Manufacturing,Producer Manufacturing,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ATFL,Agro Tech Foods Limited,Other Agricultural Products,Other Agricultural Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
ATGL,Adani Total Gas Limited,Oil Marketing & Distribution,Oil Marketing & Distribution,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
ATUL,Atul Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
ATULAUTO,Atul Auto Limited,2/3 Wheelers,2/3 Wheelers,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
AUBANK,AU Small Finance Bank Limited,BANKS - PVT,BANKS - PVT,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
AUSOMENT,Ausom Enterprise Limited,Trading Companies & Distributors,Trading Companies & Distributors,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
AUTOAXLES,Automotive Axles Limited,Auto Parts & Equipment,Auto Parts & Equipment,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
AUTOIND,Autoline Industries Limited,Auto Parts & Equipment,Auto Parts & Equipment,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
AVADHSUGAR,Avadh Sugar & Energy Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
AVANTIFEED,Avanti Feeds Limited,ANIMAL FEED,ANIMAL FEED,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
AVONMORE,Avonmore Capital & Management Services Limited,Finance,Finance,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
AVROIND,AVRO INDIA LIMITED,Consumer Durables,Consumer Durables,"Manufacturers and distributors of bicycles
and tricycles"
AVTNPL,AVT Natural Products Limited,Other Agricultural Products,Other Agricultural Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
AWHCL,Antony Waste Handling Cell Limited,WASTE MANAGEMENT	,WASTE MANAGEMENT	,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
AWL,Adani Wilmar Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
AXISBANK,Axis Bank Limited,BANKS - PVT,BANKS - PVT,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
AXISCADES,AXISCADES Technologies Limited,BPO / ITeS,BPO / ITeS,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
AXITA,Axita Cotton Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
AYMSYNTEX,AYM Syntex Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
BAIDFIN,Baid Finserv Limited,Finance,Finance,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
BAJAJCON,Bajaj Consumer Care Limited,Personal Products,Personal Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
BAJAJELEC,Bajaj Electricals Limited,Household Appliances,Household Appliances,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
BAJAJFINSV,Bajaj Finserv Limited,Holding Companies,Holding Companies,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
BAJAJHCARE,Bajaj Healthcare Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Holding Companies,Holding Companies,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
BAJFINANCE,Bajaj Finance Limited,Fin COS (including NBFCs),Fin COS (including NBFCs),"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
BALAJITELE,Balaji Telefilms Limited,Broadcasting & Cable TV,Broadcasting & Cable TV,"Companies engaged in marketing and/ or
transportation of gases"
BALAMINES,Balaji Amines Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
BALKRISIND,Balkrishna Industries Limited,Tyres & Rubber Products,Tyres & Rubber Products,"Companies providing dredging and related
services"
BALMLAWRIE,Balmer Lawrie & Company Limited,Containers & Packaging,Containers & Packaging,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
BALPHARMA,Bal Pharma Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
BALRAMCHIN,Balrampur Chini Mills Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
BANARBEADS,Banaras Beads Limited,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
BANARISUG,Bannari Amman Sugars Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
BANCOINDIA,Banco Products (I) Limited,Auto Parts & Equipment,Auto Parts & Equipment,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
BANDHANBNK,Bandhan Bank Limited,BANKS - PVT,BANKS - PVT,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
BANKBARODA,Bank of Baroda,BANKS - PSU,BANKS - PSU,"Companies engaged in marketing and/ or
transportation of gases"
BANKINDIA,Bank of India,BANKS - PSU,BANKS - PSU,"Companies engaged in marketing and/ or
transportation of gases"
BANSWRAS,Banswara Syntex Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
BARBEQUE,Barbeque Nation Hospitality Limited,Restaurants,Restaurants,"Manufacturers of paper, paper boards etc."
BASF,BASF India Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
BASML,Bannari Amman Spinning Mills Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
BATAINDIA,Bata India Limited,Footwear,Footwear,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
BBL,Bharat Bijlee Limited,Other Electrical Equipment/ Products,Other Electrical Equipment/ Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
BBOX,Black Box Limited,IT Consulting & Application Software,IT Consulting & Application Software,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
